;Vollaard_id;weight;micro_cat;micro_num;ripeness_cat;ripeness_num;cleaning_cat;cleaning_num;temperature;temp_cat;fresh_cat;fresh_num;fat_num;fat_cat;price_per_100g;price_cat;finalscore;top10;nottop10;atlantic;within30km;year2017;original_ID;name;address
51;121;56;Zeer goed;1;Sterk;3;Matig;3;8.9;2;vers;1;14.2;3;3.57;3;13;0;1;0;1;0;83;Cash & Carry visbedrijf Toet;Gildeweg 6 - Vlissingen
14;24;45;Zeer goed;1;Sterk;3;Goed;2;2.3;1;nietvers;0;7.9;1;3.32;2;9.5;0;1;0;0;1;125;Coop Hof van Delft;Hof van Delftlaan 69-75 - Delft
50;87;75;Zeer goed;1;Gemiddeld;2;Goed;2;6.8;1;nietvers;0;10.6;2;3.33;2;15;0;1;0;1;1;60;Corrie’s Visstekje;Vincent van Goghstraat 15 - Nuenen
101;218;57;Zeer goed;1;Gemiddeld;2;Matig;3;8.6;2;vers;1;11.1;2;3.5;3;14.5;0;1;0;0;0;66;Dagkraam;Bentinckplein - Rotterdam
91;196;60;Zeer goed;1;Licht;1;Zeer goed;1;9.1;2;vers;1;16;3;3.33;2;13.5;0;1;0;0;0;81;Dagkraam Alex de Lat;Verkooppunt bij Puccinipassage - Capelle aan den IJssel
83;184;58;Zeer goed;1;Gemiddeld;2;Goed;2;6.3;1;vers;1;11;2;3.44;2;12.5;0;1;0;0;0;92;dagkraam Monique Vermeer;Groene Hilledijk / Heilantstraat - Rotterdam
68;118;72;Slecht;3;Groen;1;Goed;2;-1.8;1;vers;1;15.9;3;3.04;2;15;0;1;0;1;1;48;De Graaf Fish;Rompertpassage 53 - ’s-Hertogenbosch
123;256;69;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.3;1;vers;1;15.7;3;3.26;2;16;0;1;0;1;0;30;De Graaf's Visspecialiteiten;Westwal 6 - Leerdam
12;22;73;Zeer goed;1;Licht;1;Zeer goed;1;4.6;1;vers;1;10.3;2;3.21;2;17.2;1;0;0;1;1;4;De Graaf’s Visspecialiteiten;Westwal 6 - Leerdam
126;245;66;Goed;1;Sterk;3;Zeer goed;1;5.7;1;vers;1;14.7;3;3.33;2;15.5;0;1;0;1;1;44;De Jong Visspecialist;Utrechtsestraat 50 - IJsselstein
70;120;76;Zeer goed;1;Gemiddeld;2;Matig;3;6;1;nietvers;0;9.9;1;1.97;1;15;0;1;0;1;1;57;De Jongens van de Fant;Breehorn 2 - Urk
56;95;69;Waarschuwingsfase;4;Sterk;3;Matig;3;5.5;1;vers;1;13.4;2;2.89;2;14.5;0;1;0;1;1;62;De Lemster Vishal;Kortestreek 3 - Lemmer
106;199;54;Zeer goed;1;Sterk;3;Matig;3;8.2;2;nietvers;0;8.6;1;4.16;3;7.5;0;1;0;1;1;137;De Spakenburgse Visspecialist;Verkoopwagen Landbouwstraat - Winterswijk
4;11;62;Zeer goed;1;Gemiddeld;2;Matig;3;3.9;1;vers;1;12.4;2;3.22;2;13.5;0;1;0;0;0;82;De Visarend;Schoolstraat 73 - Voorschoten
85;186;65;Zeer goed;1;Gemiddeld;2;Zeer goed;1;9.1;2;vers;1;15.1;3;3.07;2;15;0;1;0;1;0;52;De Visfuik;De Millystraat 9 - Zuidlaren
121;227;61;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.3;1;vers;1;10.8;2;3.27;2;15.5;0;1;0;1;1;46;De Visfuik;De Millystraat 9 - Zuidlaren
