"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Heusden";44692
"Total male and female";"2021";"Heusden";45005
"Total male and female";"2010";"Heythuysen";
"Total male and female";"2020";"Heythuysen";
"Total male and female";"2021";"Heythuysen";
"Total male and female";"2010";"Hillegom";20484
"Total male and female";"2020";"Hillegom";22209
"Total male and female";"2021";"Hillegom";22197
"Total male and female";"2010";"Hilvarenbeek";14978
"Total male and female";"2020";"Hilvarenbeek";15518
"Total male and female";"2021";"Hilvarenbeek";15698
"Total male and female";"2010";"Hilversum";84573
"Total male and female";"2020";"Hilversum";90831
"Total male and female";"2021";"Hilversum";91235
"Total male and female";"2010";"Hindeloopen";
"Total male and female";"2020";"Hindeloopen";
"Total male and female";"2021";"Hindeloopen";
"Total male and female";"2010";"Hoedekenskerke";
"Total male and female";"2020";"Hoedekenskerke";
"Total male and female";"2021";"Hoedekenskerke";
"Total male and female";"2010";"Hoek";
"Total male and female";"2020";"Hoek";
"Total male and female";"2021";"Hoek";
"Total male and female";"2010";"Hoeksche Waard";
"Total male and female";"2020";"Hoeksche Waard";87401
"Total male and female";"2021";"Hoeksche Waard";88047
"Total male and female";"2010";"Hoenkoop";
"Total male and female";"2020";"Hoenkoop";
"Total male and female";"2021";"Hoenkoop";
"Total male and female";"2010";"Hoensbroek";
"Total male and female";"2020";"Hoensbroek";
"Total male and female";"2021";"Hoensbroek";
"Total male and female";"2010";"Hoevelaken";
"Total male and female";"2020";"Hoevelaken";
"Total male and female";"2021";"Hoevelaken";
"Total male and female";"2010";"Hoeven";
"Total male and female";"2020";"Hoeven";
"Total male and female";"2021";"Hoeven";
"Total male and female";"2010";"Hof van Twente";35468
"Total male and female";"2020";"Hof van Twente";35017
"Total male and female";"2021";"Hof van Twente";35040
"Total male and female";"2010";"Het Hogeland";
"Total male and female";"2020";"Het Hogeland";47801
"Total male and female";"2021";"Het Hogeland";47834
"Total male and female";"2010";"Hollands Kroon";
"Total male and female";"2020";"Hollands Kroon";48432
"Total male and female";"2021";"Hollands Kroon";48583
"Total male and female";"2010";"Holten";
"Total male and female";"2020";"Holten";
"Total male and female";"2021";"Holten";
"Total male and female";"2010";"Hontenisse";
"Total male and female";"2020";"Hontenisse";
"Total male and female";"2021";"Hontenisse";
"Total male and female";"2010";"Hoofdplaat";
"Total male and female";"2020";"Hoofdplaat";
"Total male and female";"2021";"Hoofdplaat";
"Total male and female";"2010";"Hoogblokland";
"Total male and female";"2020";"Hoogblokland";
"Total male and female";"2021";"Hoogblokland";
"Total male and female";"2010";"Hooge en Lage Mierde";
"Total male and female";"2020";"Hooge en Lage Mierde";
"Total male and female";"2021";"Hooge en Lage Mierde";
"Total male and female";"2010";"Hooge en Lage Zwaluwe";
"Total male and female";"2020";"Hooge en Lage Zwaluwe";
"Total male and female";"2021";"Hooge en Lage Zwaluwe";
"Total male and female";"2010";"Hoogeloon, Hapert en Casteren";
"Total male and female";"2020";"Hoogeloon, Hapert en Casteren";
"Total male and female";"2021";"Hoogeloon, Hapert en Casteren";
"Total male and female";"2010";"Hoogeveen";54805
"Total male and female";"2020";"Hoogeveen";55699
"Total male and female";"2021";"Hoogeveen";55603
"Total male and female";"2010";"Hoogezand";
"Total male and female";"2020";"Hoogezand";
"Total male and female";"2021";"Hoogezand";
"Total male and female";"2010";"Hoogezand-Sappemeer";34754
"Total male and female";"2020";"Hoogezand-Sappemeer";
"Total male and female";"2021";"Hoogezand-Sappemeer";
"Total male and female";"2010";"Hoogkarspel";
"Total male and female";"2020";"Hoogkarspel";
"Total male and female";"2021";"Hoogkarspel";
"Total male and female";"2010";"Hoogkerk";
"Total male and female";"2020";"Hoogkerk";
"Total male and female";"2021";"Hoogkerk";
"Total male and female";"2010";"Hoogland";
"Total male and female";"2020";"Hoogland";
"Total male and female";"2021";"Hoogland";
"Total male and female";"2010";"Hoogwoud";
"Total male and female";"2020";"Hoogwoud";
"Total male and female";"2021";"Hoogwoud";
"Total male and female";"2010";"Hoorn";70252
"Total male and female";"2020";"Hoorn";73261
"Total male and female";"2021";"Hoorn";73619
"Total male and female";"2010";"Hoornaar";
"Total male and female";"2020";"Hoornaar";
"Total male and female";"2021";"Hoornaar";
"Total male and female";"2010";"Horn";
"Total male and female";"2020";"Horn";
"Total male and female";"2021";"Horn";
"Total male and female";"2010";"Horssen";
"Total male and female";"2020";"Horssen";
"Total male and female";"2021";"Horssen";
"Total male and female";"2010";"Horst";
"Total male and female";"2020";"Horst";
"Total male and female";"2021";"Horst";
"Total male and female";"2010";"Horst aan de Maas";41465
"Total male and female";"2020";"Horst aan de Maas";42429
"Total male and female";"2021";"Horst aan de Maas";42487
"Total male and female";"2010";"Houten";47622
"Total male and female";"2020";"Houten";50146
"Total male and female";"2021";"Houten";50223
"Total male and female";"2010";"Huijbergen";
"Total male and female";"2020";"Huijbergen";
"Total male and female";"2021";"Huijbergen";
"Total male and female";"2010";"Huissen";
"Total male and female";"2020";"Huissen";
"Total male and female";"2021";"Huissen";
"Total male and female";"2010";"Huizen";41934
"Total male and female";"2020";"Huizen";41273
"Total male and female";"2021";"Huizen";41090
"Total male and female";"2010";"Hulsberg";
"Total male and female";"2020";"Hulsberg";
"Total male and female";"2021";"Hulsberg";
"Total male and female";"2010";"Hulst";27860
"Total male and female";"2020";"Hulst";27556
"Total male and female";"2021";"Hulst";27575
"Total male and female";"2010";"Hummelo en Keppel";
"Total male and female";"2020";"Hummelo en Keppel";
"Total male and female";"2021";"Hummelo en Keppel";
"Total male and female";"2010";"Hunsel";
"Total male and female";"2020";"Hunsel";
"Total male and female";"2021";"Hunsel";
"Total male and female";"2010";"Hurwenen";
"Total male and female";"2020";"Hurwenen";
"Total male and female";"2021";"Hurwenen";
"Total male and female";"2010";"Idaarderadeel";
"Total male and female";"2020";"Idaarderadeel";
"Total male and female";"2021";"Idaarderadeel";
"Total male and female";"2010";"IJlst";
"Total male and female";"2020";"IJlst";
"Total male and female";"2021";"IJlst";
"Total male and female";"2010";"IJsselham";
"Total male and female";"2020";"IJsselham";
"Total male and female";"2021";"IJsselham";
"Total male and female";"2010";"IJsselmuiden";
"Total male and female";"2020";"IJsselmuiden";
"Total male and female";"2021";"IJsselmuiden";
"Total male and female";"2010";"IJsselstein";34226
"Total male and female";"2020";"IJsselstein";34109
"Total male and female";"2021";"IJsselstein";33819
"Total male and female";"2010";"IJzendijke";
"Total male and female";"2020";"IJzendijke";
"Total male and female";"2021";"IJzendijke";
"Total male and female";"2010";"Ilpendam";
"Total male and female";"2020";"Ilpendam";
"Total male and female";"2021";"Ilpendam";
"Total male and female";"2010";"Itteren";
"Total male and female";"2020";"Itteren";
"Total male and female";"2021";"Itteren";
"Total male and female";"2010";"Ittervoort";
"Total male and female";"2020";"Ittervoort";
"Total male and female";"2021";"Ittervoort";
"Total male and female";"2010";"Jaarsveld";
"Total male and female";"2020";"Jaarsveld";
"Total male and female";"2021";"Jaarsveld";
"Total male and female";"2010";"Jabeek";
"Total male and female";"2020";"Jabeek";
"Total male and female";"2021";"Jabeek";
"Total male and female";"2010";"Jacobswoude";
"Total male and female";"2020";"Jacobswoude";
"Total male and female";"2021";"Jacobswoude";
"Total male and female";"2010";"Jisp";
"Total male and female";"2020";"Jisp";
"Total male and female";"2021";"Jisp";
"Total male and female";"2010";"Jutphaas";
"Total male and female";"2020";"Jutphaas";
"Total male and female";"2021";"Jutphaas";
"Total male and female";"2010";"Kaag en Braassem";25642
"Total male and female";"2020";"Kaag en Braassem";27297
"Total male and female";"2021";"Kaag en Braassem";27541
"Total male and female";"2010";"Kamerik";
"Total male and female";"2020";"Kamerik";
"Total male and female";"2021";"Kamerik";
"Total male and female";"2010";"Kampen";50051
"Total male and female";"2020";"Kampen";54319
"Total male and female";"2021";"Kampen";54474
"Total male and female";"2010";"Kantens";
"Total male and female";"2020";"Kantens";
"Total male and female";"2021";"Kantens";
"Total male and female";"2010";"Kapelle";12402
"Total male and female";"2020";"Kapelle";12695
"Total male and female";"2021";"Kapelle";12882
"Total male and female";"2010";"Kattendijke";
"Total male and female";"2020";"Kattendijke";
"Total male and female";"2021";"Kattendijke";
"Total male and female";"2010";"Katwijk";61828
"Total male and female";"2020";"Katwijk";65753
"Total male and female";"2021";"Katwijk";65995
"Total male and female";"2010";"Katwoude";
"Total male and female";"2020";"Katwoude";
"Total male and female";"2021";"Katwoude";
"Total male and female";"2010";"Kedichem";
"Total male and female";"2020";"Kedichem";
"Total male and female";"2021";"Kedichem";
"Total male and female";"2010";"Kerkrade";47684
"Total male and female";"2020";"Kerkrade";45749
"Total male and female";"2021";"Kerkrade";45442
"Total male and female";"2010";"Kerkwerve";
"Total male and female";"2020";"Kerkwerve";
"Total male and female";"2021";"Kerkwerve";
"Total male and female";"2010";"Kerkwijk";
"Total male and female";"2020";"Kerkwijk";
"Total male and female";"2021";"Kerkwijk";
"Total male and female";"2010";"Kessel";
"Total male and female";"2020";"Kessel";
"Total male and female";"2021";"Kessel";
"Total male and female";"2010";"Kesteren";
"Total male and female";"2020";"Kesteren";
"Total male and female";"2021";"Kesteren";
"Total male and female";"2010";"Klaaswaal";
"Total male and female";"2020";"Klaaswaal";
"Total male and female";"2021";"Klaaswaal";
"Total male and female";"2010";"Klimmen";
"Total male and female";"2020";"Klimmen";
"Total male and female";"2021";"Klimmen";
"Total male and female";"2010";"Kloetinge";
"Total male and female";"2020";"Kloetinge";
"Total male and female";"2021";"Kloetinge";
"Total male and female";"2010";"Kloosterburen";
"Total male and female";"2020";"Kloosterburen";
"Total male and female";"2021";"Kloosterburen";
"Total male and female";"2010";"Klundert";
"Total male and female";"2020";"Klundert";
"Total male and female";"2021";"Klundert";
"Total male and female";"2010";"Kockengen";
"Total male and female";"2020";"Kockengen";
"Total male and female";"2021";"Kockengen";
"Total male and female";"2010";"Koedijk";
"Total male and female";"2020";"Koedijk";
"Total male and female";"2021";"Koedijk";
"Total male and female";"2010";"Koewacht";
"Total male and female";"2020";"Koewacht";
"Total male and female";"2021";"Koewacht";
"Total male and female";"2010";"Koggenland";21969
"Total male and female";"2020";"Koggenland";22749
"Total male and female";"2021";"Koggenland";22940
"Total male and female";"2010";"Kollumerland en Nieuwkruisland";13005
"Total male and female";"2020";"Kollumerland en Nieuwkruisland";
"Total male and female";"2021";"Kollumerland en Nieuwkruisland";
"Total male and female";"2010";"Koog aan de Zaan";
"Total male and female";"2020";"Koog aan de Zaan";
"Total male and female";"2021";"Koog aan de Zaan";
"Total male and female";"2010";"Korendijk";10891
"Total male and female";"2020";"Korendijk";
"Total male and female";"2021";"Korendijk";
"Total male and female";"2010";"Kortenhoef";
"Total male and female";"2020";"Kortenhoef";
"Total male and female";"2021";"Kortenhoef";
"Total male and female";"2010";"Kortgene";
"Total male and female";"2020";"Kortgene";
"Total male and female";"2021";"Kortgene";
"Total male and female";"2010";"Koudekerk aan den Rijn";
"Total male and female";"2020";"Koudekerk aan den Rijn";
"Total male and female";"2021";"Koudekerk aan den Rijn";
"Total male and female";"2010";"Koudekerke";
"Total male and female";"2020";"Koudekerke";
"Total male and female";"2021";"Koudekerke";
"Total male and female";"2010";"Krabbendijke";
"Total male and female";"2020";"Krabbendijke";
"Total male and female";"2021";"Krabbendijke";
"Total male and female";"2010";"Krimpen aan de Lek";
"Total male and female";"2020";"Krimpen aan de Lek";
"Total male and female";"2021";"Krimpen aan de Lek";
"Total male and female";"2010";"Krimpen aan den IJssel";28812
"Total male and female";"2020";"Krimpen aan den IJssel";29526
"Total male and female";"2021";"Krimpen aan den IJssel";29410
"Total male and female";"2010";"Krimpenerwaard";
"Total male and female";"2020";"Krimpenerwaard";56319
"Total male and female";"2021";"Krimpenerwaard";56622
"Total male and female";"2010";"Krommenie";
"Total male and female";"2020";"Krommenie";
"Total male and female";"2021";"Krommenie";
"Total male and female";"2010";"Kruiningen";
"Total male and female";"2020";"Kruiningen";
"Total male and female";"2021";"Kruiningen";
"Total male and female";"2010";"Kuinre";
"Total male and female";"2020";"Kuinre";
"Total male and female";"2021";"Kuinre";
"Total male and female";"2010";"Kwadijk";
"Total male and female";"2020";"Kwadijk";
"Total male and female";"2021";"Kwadijk";
"Total male and female";"2010";"Laag-Nieuwkoop";
"Total male and female";"2020";"Laag-Nieuwkoop";
"Total male and female";"2021";"Laag-Nieuwkoop";
"Total male and female";"2010";"Laarbeek";21581
"Total male and female";"2020";"Laarbeek";22523
"Total male and female";"2021";"Laarbeek";22805
"Total male and female";"2010";"Landerd";14888
"Total male and female";"2020";"Landerd";15730
"Total male and female";"2021";"Landerd";15817
"Total male and female";"2010";"Landgraaf";38457
"Total male and female";"2020";"Landgraaf";37445
"Total male and female";"2021";"Landgraaf";37262
"Total male and female";"2010";"Landsmeer";10233
"Total male and female";"2020";"Landsmeer";11491
"Total male and female";"2021";"Landsmeer";11565
"Total male and female";"2010";"Langbroek";
"Total male and female";"2020";"Langbroek";
"Total male and female";"2021";"Langbroek";
"Total male and female";"2010";"Lange Ruige Weide";
"Total male and female";"2020";"Lange Ruige Weide";
"Total male and female";"2021";"Lange Ruige Weide";
"Total male and female";"2010";"Langedijk";26955
"Total male and female";"2020";"Langedijk";28163
"Total male and female";"2021";"Langedijk";28335
"Total male and female";"2010";"Langerak";
"Total male and female";"2020";"Langerak";
"Total male and female";"2021";"Langerak";
"Total male and female";"2010";"Lansingerland";52565
"Total male and female";"2020";"Lansingerland";62384
"Total male and female";"2021";"Lansingerland";63363
"Total male and female";"2010";"Laren (Gld.)";
"Total male and female";"2020";"Laren (Gld.)";
"Total male and female";"2021";"Laren (Gld.)";
"Total male and female";"2010";"Laren (NH.)";11323
"Total male and female";"2020";"Laren (NH.)";11280
"Total male and female";"2021";"Laren (NH.)";11398
"Total male and female";"2010";"Leek";19364
"Total male and female";"2020";"Leek";
"Total male and female";"2021";"Leek";
"Total male and female";"2010";"Leende";
"Total male and female";"2020";"Leende";
"Total male and female";"2021";"Leende";
"Total male and female";"2010";"Leens";
"Total male and female";"2020";"Leens";
"Total male and female";"2021";"Leens";
"Total male and female";"2010";"Leerbroek";
"Total male and female";"2020";"Leerbroek";
"Total male and female";"2021";"Leerbroek";
"Total male and female";"2010";"Leerdam";20745
"Total male and female";"2020";"Leerdam";
"Total male and female";"2021";"Leerdam";
"Total male and female";"2010";"Leersum";
"Total male and female";"2020";"Leersum";
"Total male and female";"2021";"Leersum";
"Total male and female";"2010";"Leeuwarden";94073
"Total male and female";"2020";"Leeuwarden";124084
"Total male and female";"2021";"Leeuwarden";124481
"Total male and female";"2010";"Leeuwarderadeel";10435
"Total male and female";"2020";"Leeuwarderadeel";
"Total male and female";"2021";"Leeuwarderadeel";
"Total male and female";"2010";"Leiden";117123
"Total male and female";"2020";"Leiden";125099
"Total male and female";"2021";"Leiden";124093
"Total male and female";"2010";"Leiderdorp";26426
"Total male and female";"2020";"Leiderdorp";27056
"Total male and female";"2021";"Leiderdorp";27377
"Total male and female";"2010";"Leidschendam";
"Total male and female";"2020";"Leidschendam";
"Total male and female";"2021";"Leidschendam";
"Total male and female";"2010";"Leidschendam-Voorburg";72160
"Total male and female";"2020";"Leidschendam-Voorburg";76534
"Total male and female";"2021";"Leidschendam-Voorburg";76433
"Total male and female";"2010";"Leimuiden";
"Total male and female";"2020";"Leimuiden";
"Total male and female";"2021";"Leimuiden";
"Total male and female";"2010";"Lekkerkerk";
"Total male and female";"2020";"Lekkerkerk";
"Total male and female";"2021";"Lekkerkerk";
"Total male and female";"2010";"Lelystad";74628
"Total male and female";"2020";"Lelystad";78598
"Total male and female";"2021";"Lelystad";79811
"Total male and female";"2010";"Lemsterland";13623
"Total male and female";"2020";"Lemsterland";
"Total male and female";"2021";"Lemsterland";
"Total male and female";"2010";"Leudal";36741
"Total male and female";"2020";"Leudal";35879
"Total male and female";"2021";"Leudal";36045
"Total male and female";"2010";"Leusden";28812
"Total male and female";"2020";"Leusden";30401
"Total male and female";"2021";"Leusden";30544
"Total male and female";"2010";"Lexmond";
"Total male and female";"2020";"Lexmond";
"Total male and female";"2021";"Lexmond";
"Total male and female";"2010";"Lichtenvoorde";
"Total male and female";"2020";"Lichtenvoorde";
"Total male and female";"2021";"Lichtenvoorde";
"Total male and female";"2010";"Liemeer";
"Total male and female";"2020";"Liemeer";
"Total male and female";"2021";"Liemeer";
"Total male and female";"2010";"Liempde";
"Total male and female";"2020";"Liempde";
"Total male and female";"2021";"Liempde";
"Total male and female";"2010";"Lienden";
"Total male and female";"2020";"Lienden";
"Total male and female";"2021";"Lienden";
"Total male and female";"2010";"De Lier";
"Total male and female";"2020";"De Lier";
"Total male and female";"2021";"De Lier";
"Total male and female";"2010";"Lieshout";
"Total male and female";"2020";"Lieshout";
"Total male and female";"2021";"Lieshout";
"Total male and female";"2010";"Liesveld";9740
"Total male and female";"2020";"Liesveld";
"Total male and female";"2021";"Liesveld";
"Total male and female";"2010";"Limbricht";
"Total male and female";"2020";"Limbricht";
"Total male and female";"2021";"Limbricht";
"Total male and female";"2010";"Limmen";
"Total male and female";"2020";"Limmen";
"Total male and female";"2021";"Limmen";
"Total male and female";"2010";"Linden";
"Total male and female";"2020";"Linden";
"Total male and female";"2021";"Linden";
"Total male and female";"2010";"Lingewaal";10899
"Total male and female";"2020";"Lingewaal";
"Total male and female";"2021";"Lingewaal";
"Total male and female";"2010";"Lingewaard";45445
"Total male and female";"2020";"Lingewaard";46601
"Total male and female";"2021";"Lingewaard";46822
"Total male and female";"2010";"Linne";
"Total male and female";"2020";"Linne";
"Total male and female";"2021";"Linne";
"Total male and female";"2010";"Linschoten";
"Total male and female";"2020";"Linschoten";
"Total male and female";"2021";"Linschoten";
"Total male and female";"2010";"Lisse";22335
"Total male and female";"2020";"Lisse";22955
"Total male and female";"2021";"Lisse";22982
"Total male and female";"2010";"Lith";6651
"Total male and female";"2020";"Lith";
"Total male and female";"2021";"Lith";
"Total male and female";"2010";"Littenseradeel";
"Total male and female";"2020";"Littenseradeel";
"Total male and female";"2021";"Littenseradeel";
"Total male and female";"2010";"Littenseradiel";10924
"Total male and female";"2020";"Littenseradiel";
"Total male and female";"2021";"Littenseradiel";
"Total male and female";"2010";"Lochem";33395
"Total male and female";"2020";"Lochem";33729
"Total male and female";"2021";"Lochem";33948
"Total male and female";"2010";"Loenen";8504
"Total male and female";"2020";"Loenen";
"Total male and female";"2021";"Loenen";
"Total male and female";"2010";"Loenersloot";
"Total male and female";"2020";"Loenersloot";
"Total male and female";"2021";"Loenersloot";
"Total male and female";"2010";"Loon op Zand";23016
"Total male and female";"2020";"Loon op Zand";23408
"Total male and female";"2021";"Loon op Zand";23504
"Total male and female";"2010";"Loosdrecht";
"Total male and female";"2020";"Loosdrecht";
"Total male and female";"2021";"Loosdrecht";
"Total male and female";"2010";"Lopik";14174
"Total male and female";"2020";"Lopik";14467
"Total male and female";"2021";"Lopik";14456
"Total male and female";"2010";"Loppersum";10452
"Total male and female";"2020";"Loppersum";9537
"Total male and female";"2021";"Loppersum";
"Total male and female";"2010";"Losser";22647
"Total male and female";"2020";"Losser";22683
"Total male and female";"2021";"Losser";22888
"Total male and female";"2010";"Luyksgestel";
"Total male and female";"2020";"Luyksgestel";
"Total male and female";"2021";"Luyksgestel";
"Total male and female";"2010";"Maarheeze";
"Total male and female";"2020";"Maarheeze";
"Total male and female";"2021";"Maarheeze";
"Total male and female";"2010";"Maarn";
"Total male and female";"2020";"Maarn";
"Total male and female";"2021";"Maarn";
"Total male and female";"2010";"Maarssen";39663
"Total male and female";"2020";"Maarssen";
"Total male and female";"2021";"Maarssen";
"Total male and female";"2010";"Maarsseveen";
"Total male and female";"2020";"Maarsseveen";
"Total male and female";"2021";"Maarsseveen";
"Total male and female";"2010";"Maartensdijk";
"Total male and female";"2020";"Maartensdijk";
"Total male and female";"2021";"Maartensdijk";
"Total male and female";"2010";"Maasbracht";
"Total male and female";"2020";"Maasbracht";
"Total male and female";"2021";"Maasbracht";
"Total male and female";"2010";"Maasbree";
"Total male and female";"2020";"Maasbree";
"Total male and female";"2021";"Maasbree";
"Total male and female";"2010";"Maasdam";
"Total male and female";"2020";"Maasdam";
"Total male and female";"2021";"Maasdam";
"Total male and female";"2010";"Maasdonk";11268
"Total male and female";"2020";"Maasdonk";
"Total male and female";"2021";"Maasdonk";
"Total male and female";"2010";"Maasdriel";23756
"Total male and female";"2020";"Maasdriel";25030
"Total male and female";"2021";"Maasdriel";25452
"Total male and female";"2010";"Maasgouw";24275
"Total male and female";"2020";"Maasgouw";23965
"Total male and female";"2021";"Maasgouw";23947
"Total male and female";"2010";"Maashees en Overloon";
"Total male and female";"2020";"Maashees en Overloon";
"Total male and female";"2021";"Maashees en Overloon";
"Total male and female";"2010";"Maasland";
"Total male and female";"2020";"Maasland";
"Total male and female";"2021";"Maasland";
"Total male and female";"2010";"Maasniel";
"Total male and female";"2020";"Maasniel";
"Total male and female";"2021";"Maasniel";
"Total male and female";"2010";"Maassluis";31591
"Total male and female";"2020";"Maassluis";33213
"Total male and female";"2021";"Maassluis";33567
"Total male and female";"2010";"Maastricht";118533
"Total male and female";"2020";"Maastricht";121575
"Total male and female";"2021";"Maastricht";120227
"Total male and female";"2010";"Made";
"Total male and female";"2020";"Made";
"Total male and female";"2021";"Made";
"Total male and female";"2010";"Made en Drimmelen";
"Total male and female";"2020";"Made en Drimmelen";
"Total male and female";"2021";"Made en Drimmelen";
"Total male and female";"2010";"Margraten";13404
"Total male and female";"2020";"Margraten";
"Total male and female";"2021";"Margraten";
"Total male and female";"2010";"Mariekerke";
"Total male and female";"2020";"Mariekerke";
"Total male and female";"2021";"Mariekerke";
"Total male and female";"2010";"Markelo";
"Total male and female";"2020";"Markelo";
"Total male and female";"2021";"Markelo";
"Total male and female";"2010";"Marken";
"Total male and female";"2020";"Marken";
"Total male and female";"2021";"Marken";
"Total male and female";"2010";"De Marne";10527
"Total male and female";"2020";"De Marne";
"Total male and female";"2021";"De Marne";
"Total male and female";"2010";"Marum";10449
"Total male and female";"2020";"Marum";
"Total male and female";"2021";"Marum";
"Total male and female";"2010";"Maurik";
"Total male and female";"2020";"Maurik";
"Total male and female";"2021";"Maurik";
"Total male and female";"2010";"Medemblik";27384
"Total male and female";"2020";"Medemblik";45101
"Total male and female";"2021";"Medemblik";45165
"Total male and female";"2010";"Meeden";
"Total male and female";"2020";"Meeden";
"Total male and female";"2021";"Meeden";
"Total male and female";"2010";"Meerkerk";
"Total male and female";"2020";"Meerkerk";
"Total male and female";"2021";"Meerkerk";
"Total male and female";"2010";"Meerlo";
"Total male and female";"2020";"Meerlo";
"Total male and female";"2021";"Meerlo";
"Total male and female";"2010";"Meerlo-Wanssum";
"Total male and female";"2020";"Meerlo-Wanssum";
"Total male and female";"2021";"Meerlo-Wanssum";
"Total male and female";"2010";"Meerssen";19565
"Total male and female";"2020";"Meerssen";18828
"Total male and female";"2021";"Meerssen";18661
"Total male and female";"2010";"Megen, Haren en Macharen";
"Total male and female";"2020";"Megen, Haren en Macharen";
"Total male and female";"2021";"Megen, Haren en Macharen";
"Total male and female";"2010";"Meierijstad";
"Total male and female";"2020";"Meierijstad";81194
"Total male and female";"2021";"Meierijstad";81647
"Total male and female";"2010";"Meijel";
"Total male and female";"2020";"Meijel";
"Total male and female";"2021";"Meijel";
"Total male and female";"2010";"Melick en Herkenbosch";
"Total male and female";"2020";"Melick en Herkenbosch";
"Total male and female";"2021";"Melick en Herkenbosch";
"Total male and female";"2010";"Meliskerke";
"Total male and female";"2020";"Meliskerke";
"Total male and female";"2021";"Meliskerke";
"Total male and female";"2010";"Melissant";
"Total male and female";"2020";"Melissant";
"Total male and female";"2021";"Melissant";
"Total male and female";"2010";"Menaldumadeel";13748
"Total male and female";"2020";"Menaldumadeel";
"Total male and female";"2021";"Menaldumadeel";
"Total male and female";"2010";"Menameradiel";
"Total male and female";"2020";"Menameradiel";
"Total male and female";"2021";"Menameradiel";
"Total male and female";"2010";"Menterwolde";12503
"Total male and female";"2020";"Menterwolde";
"Total male and female";"2021";"Menterwolde";
"Total male and female";"2010";"Meppel";32378
"Total male and female";"2020";"Meppel";33920
"Total male and female";"2021";"Meppel";34386
"Total male and female";"2010";"Merkelbeek";
"Total male and female";"2020";"Merkelbeek";
"Total male and female";"2021";"Merkelbeek";
"Total male and female";"2010";"Mesch";
"Total male and female";"2020";"Mesch";
"Total male and female";"2021";"Mesch";
"Total male and female";"2010";"Mheer";
"Total male and female";"2020";"Mheer";
"Total male and female";"2021";"Mheer";
"Total male and female";"2010";"Middelburg (Z.)";47997
"Total male and female";"2020";"Middelburg (Z.)";48822
"Total male and female";"2021";"Middelburg (Z.)";48964
"Total male and female";"2010";"Middelharnis";17950
"Total male and female";"2020";"Middelharnis";
"Total male and female";"2021";"Middelharnis";
"Total male and female";"2010";"Middelie";
"Total male and female";"2020";"Middelie";
"Total male and female";"2021";"Middelie";
"Total male and female";"2010";"Middelstum";
"Total male and female";"2020";"Middelstum";
"Total male and female";"2021";"Middelstum";
"Total male and female";"2010";"Midden-Delfland";17890
"Total male and female";"2020";"Midden-Delfland";19341
"Total male and female";"2021";"Midden-Delfland";19414
"Total male and female";"2010";"Midden-Drenthe";33560
"Total male and female";"2020";"Midden-Drenthe";33185
"Total male and female";"2021";"Midden-Drenthe";33381
"Total male and female";"2010";"Midden-Groningen";
"Total male and female";"2020";"Midden-Groningen";60797
"Total male and female";"2021";"Midden-Groningen";60726
"Total male and female";"2010";"Middenschouwen";
"Total male and female";"2020";"Middenschouwen";
"Total male and female";"2021";"Middenschouwen";
"Total male and female";"2010";"Middenveld";
"Total male and female";"2020";"Middenveld";
"Total male and female";"2021";"Middenveld";
"Total male and female";"2010";"Midwolda";
"Total male and female";"2020";"Midwolda";
"Total male and female";"2021";"Midwolda";
"Total male and female";"2010";"Midwoud";
"Total male and female";"2020";"Midwoud";
"Total male and female";"2021";"Midwoud";
"Total male and female";"2010";"Mierlo";
"Total male and female";"2020";"Mierlo";
"Total male and female";"2021";"Mierlo";
"Total male and female";"2010";"Mijdrecht";
"Total male and female";"2020";"Mijdrecht";
"Total male and female";"2021";"Mijdrecht";
"Total male and female";"2010";"Mijnsheerenland";
"Total male and female";"2020";"Mijnsheerenland";
"Total male and female";"2021";"Mijnsheerenland";
"Total male and female";"2010";"Mill en Sint Hubert";11031
"Total male and female";"2020";"Mill en Sint Hubert";10939
"Total male and female";"2021";"Mill en Sint Hubert";11004
"Total male and female";"2010";"Millingen";
"Total male and female";"2020";"Millingen";
"Total male and female";"2021";"Millingen";
"Total male and female";"2010";"Millingen aan de Rijn";5914
"Total male and female";"2020";"Millingen aan de Rijn";
"Total male and female";"2021";"Millingen aan de Rijn";
"Total male and female";"2010";"Moerdijk";36536
"Total male and female";"2020";"Moerdijk";37129
"Total male and female";"2021";"Moerdijk";37185
"Total male and female";"2010";"Moergestel";
"Total male and female";"2020";"Moergestel";
"Total male and female";"2021";"Moergestel";
"Total male and female";"2010";"Moerhuizen";
"Total male and female";"2020";"Moerhuizen";
"Total male and female";"2021";"Moerhuizen";
"Total male and female";"2010";"Moerkapelle";
"Total male and female";"2020";"Moerkapelle";
"Total male and female";"2021";"Moerkapelle";
"Total male and female";"2010";"Molenaarsgraaf";
"Total male and female";"2020";"Molenaarsgraaf";
"Total male and female";"2021";"Molenaarsgraaf";
"Total male and female";"2010";"Molenlanden";
"Total male and female";"2020";"Molenlanden";43909
"Total male and female";"2021";"Molenlanden";44130
"Total male and female";"2010";"Molenwaard";
"Total male and female";"2020";"Molenwaard";
"Total male and female";"2021";"Molenwaard";
"Total male and female";"2010";"Monnickendam";
"Total male and female";"2020";"Monnickendam";
"Total male and female";"2021";"Monnickendam";
"Total male and female";"2010";"Monster";
"Total male and female";"2020";"Monster";
"Total male and female";"2021";"Monster";
