"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Beegden";
"Total male and female";"2021";"Beegden";
"Total male and female";"2010";"Beek (L.)";16579
"Total male and female";"2020";"Beek (L.)";15865
"Total male and female";"2021";"Beek (L.)";15875
"Total male and female";"2010";"Beek (NB.)";
"Total male and female";"2020";"Beek (NB.)";
"Total male and female";"2021";"Beek (NB.)";
"Total male and female";"2010";"Beek en Donk";
"Total male and female";"2020";"Beek en Donk";
"Total male and female";"2021";"Beek en Donk";
"Total male and female";"2010";"Beekdaelen";
"Total male and female";"2020";"Beekdaelen";35938
"Total male and female";"2021";"Beekdaelen";36065
"Total male and female";"2010";"Beemster";8584
"Total male and female";"2020";"Beemster";10022
"Total male and female";"2021";"Beemster";10110
"Total male and female";"2010";"Beers";
"Total male and female";"2020";"Beers";
"Total male and female";"2021";"Beers";
"Total male and female";"2010";"Beerta";
"Total male and female";"2020";"Beerta";
"Total male and female";"2021";"Beerta";
"Total male and female";"2010";"Beesd";
"Total male and female";"2020";"Beesd";
"Total male and female";"2021";"Beesd";
"Total male and female";"2010";"Beesel";13902
"Total male and female";"2020";"Beesel";13482
"Total male and female";"2021";"Beesel";13450
"Total male and female";"2010";"Beets";
"Total male and female";"2020";"Beets";
"Total male and female";"2021";"Beets";
"Total male and female";"2010";"Beilen";
"Total male and female";"2020";"Beilen";
"Total male and female";"2021";"Beilen";
"Total male and female";"2010";"Belfeld";
"Total male and female";"2020";"Belfeld";
"Total male and female";"2021";"Belfeld";
"Total male and female";"2010";"Bellingwedde";9261
"Total male and female";"2020";"Bellingwedde";
"Total male and female";"2021";"Bellingwedde";
"Total male and female";"2010";"Bellingwolde";
"Total male and female";"2020";"Bellingwolde";
"Total male and female";"2021";"Bellingwolde";
"Total male and female";"2010";"Bemelen";
"Total male and female";"2020";"Bemelen";
"Total male and female";"2021";"Bemelen";
"Total male and female";"2010";"Bemmel";
"Total male and female";"2020";"Bemmel";
"Total male and female";"2021";"Bemmel";
"Total male and female";"2010";"Bennebroek";
"Total male and female";"2020";"Bennebroek";
"Total male and female";"2021";"Bennebroek";
"Total male and female";"2010";"Benschop";
"Total male and female";"2020";"Benschop";
"Total male and female";"2021";"Benschop";
"Total male and female";"2010";"Benthuizen";
